store,websites,attribute_set,type,sku,com_image,com_small_image,com_thumbnail,gallery
admin,base,Default,simple,ATI3017,/a/t/ati_sunpower_6_bulb_kit_39_1.jpg,/a/t/ati_sunpower_6_bulb_kit_39_1.jpg,/a/t/ati_sunpower_6_bulb_kit_39_1.jpg,"/ati/ati_sunpower_6_bulb_kit.jpg,/ati/ati_sunpower_6_bulb_underside.jpg"
admin,base,Default,simple,ATI1101,/a/t/ati_bulbs_aquablue_chart_21.jpg,/a/t/ati_bulbs_aquablue_chart_21.jpg,/a/t/ati_bulbs_aquablue_chart_21.jpg,"/ati/ati_bulbs_aquablue_chart.jpg,/ati/ati_bulbs_packaging.jpg"
admin,base,Default,simple,ATI1103,/a/t/ati_bulbs_aquablue_chart_1_1.jpg,/a/t/ati_bulbs_aquablue_chart_1_1.jpg,/a/t/ati_bulbs_aquablue_chart_1_1.jpg,"/ati/ati_bulbs_aquablue_chart.jpg,/ati/ati_bulbs_packaging.jpg"
admin,base,Default,simple,ATI1105,/a/t/ati_bulbs_aquablue_chart_2_2.jpg,/a/t/ati_bulbs_aquablue_chart_2_2.jpg,/a/t/ati_bulbs_aquablue_chart_2_2.jpg,"/ati/ati_bulbs_aquablue_chart.jpg,/ati/ati_bulbs_packaging.jpg"
admin,base,Default,simple,ATI1107,/a/t/ati_bulbs_aquablue_chart_2_3.jpg,/a/t/ati_bulbs_aquablue_chart_2_3.jpg,/a/t/ati_bulbs_aquablue_chart_2_3.jpg,"/ati/ati_bulbs_aquablue_chart.jpg,/ati/ati_bulbs_packaging.jpg"
admin,base,Default,simple,ATI1109,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,"/ati/ati_bulbs_blue_plus_chart.jpg,/ati/ati_bulbs_packaging.jpg"
admin,base,Default,simple,ATI1111,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,"/ati/ati_bulbs_blue_plus_chart.jpg,/ati/ati_bulbs_packaging.jpg"
admin,base,Default,simple,ATI1113,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,"/ati/ati_bulbs_blue_plus_chart.jpg,/ati/ati_bulbs_packaging.jpg"
admin,base,Default,simple,ATI1115,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,"/ati/ati_bulbs_blue_plus_chart.jpg,/ati/ati_bulbs_packaging.jpg"
admin,base,Default,simple,ATI1117,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,"/ati/ati_bulbs_true_actinic_chart.jpg,/ati/ati_bulbs_packaging.jpg"
admin,base,Default,simple,ATI1119,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,"/ati/ati_bulbs_true_actinic_chart.jpg,/ati/ati_bulbs_packaging.jpg"
admin,base,Default,simple,ATI1121,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,"/ati/ati_bulbs_true_actinic_chart.jpg,/ati/ati_bulbs_packaging.jpg"
admin,base,Default,simple,ATI1123,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,"/ati/ati_bulbs_true_actinic_chart.jpg,/ati/ati_bulbs_packaging.jpg"
admin,base,Default,simple,ATI1125,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,"/ati/ati_bulbs_purple_plus_chart.jpg,/ati/ati_bulbs_packaging.jpg"
admin,base,Default,simple,ATI1127,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,"/ati/ati_bulbs_purple_plus_chart.jpg,/ati/ati_bulbs_packaging.jpg"
admin,base,Default,simple,ATI1129,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,"/ati/ati_bulbs_purple_plus_chart.jpg,/ati/ati_bulbs_packaging.jpg"
admin,base,Default,simple,ATI1131,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,"/ati/ati_bulbs_purple_plus_chart.jpg,/ati/ati_bulbs_packaging.jpg"
