store,websites,attribute_set,type,sku,Wholesale,price,Normal,mptp_cat_id,mptp_update_status,bundle_attributes,bundle_attribute_products,config_attributes,assort,upsell,crosssell
admin,base,Default,simple,NEP0215,11.95,12.95,12.95,,,,,,,,
admin,base,Default,simple,NEP0217,12.95,14.95,14.95,,,,,,,,
admin,base,Default,simple,NEP0219,16.95,19.95,19.95,,,,,,,,
admin,base,Default,simple,NEP0221,16.95,19.95,19.95,,,,,,,,
admin,base,Default,simple,NEP0225,16.95,19.95,19.95,,,,,,,,
admin,base,Default,simple,NEP0227,12.95,14.95,14.95,,,,,,,,
admin,base,Default,simple,AM0101,1.05,1.25,1.25,,,,,,,,
admin,base,Default,simple,AM0103,0.85,0.95,0.95,,,,,,,,
admin,base,Default,simple,AM0105,0.85,0.95,0.95,,,,,,,,
admin,base,Default,simple,CT0003,2.75,2.95,2.95,,,,,,,,
admin,base,Default,grouped,LET-MIRO4REFLECTOR,,,,,,,,,,,
admin,base,Default,simple,XX0035,1.5,1.95,1.95,,,,,,,,
admin,base,Default,grouped,ATI-BMPUMP,,,,,,,,,,,
admin,base,Default,simple,ATI0101,112.95,149.95,149.95,,,,,,,,
admin,base,Default,simple,ATI0103,112.95,149.95,149.95,,,,,,,,
admin,base,Default,simple,ATI0105,112.95,149.95,149.95,,,,,,,,
admin,base,Default,simple,ATI0107,24.95,39.95,39.95,,,,,,,,
admin,base,Default,simple,ATI0109,4.95,6.95,6.95,,,,,,,,
admin,base,Default,simple,ATI0111,11.95,15.95,15.95,,,,,,,,
admin,base,Default,simple,ATI0113,8.95,11.95,11.95,,,,,,,,
admin,base,Default,simple,ATI0115,3.95,5.95,5.95,,,,,,,,
admin,base,Default,simple,ATI0117,3.95,5.95,5.95,,,,,,,,
admin,base,Default,simple,ATI0121,6.95,9.95,9.95,,,,,,,,
admin,base,Default,simple,ATI0123,1.95,2.95,2.95,,,,,,,,
admin,base,Default,simple,ATI0125,3.95,5.95,5.95,,,,,,,,
admin,base,Default,grouped,ATI-BMPUMPSUPPORT,,,,,,,,,,,
admin,base,Default,simple,ATI0127,3.95,5.95,5.95,,,,,,,,
admin,base,Default,simple,ATI0129,3.95,5.95,5.95,,,,,,,,
admin,base,Default,grouped,ATI-BMTHREADEDROD,,,,,,,,,,,
admin,base,Default,simple,ATI0131,1.95,2.95,2.95,,,,,,,,
admin,base,Default,simple,ATI0133,1.95,2.95,2.95,,,,,,,,
admin,base,Default,simple,ATI0135,1.95,2.95,2.95,,,,,,,,
admin,base,Default,simple,ATI0137,1.95,2.95,2.95,,,,,,,,
admin,base,Default,grouped,ATI-BMCOLLECTIONCUP,,,,,,,,,,,
admin,base,Default,simple,ATI0147,97.95,129.95,129.95,,,,,,,,
admin,base,Default,simple,ATI0149,105.95,139.95,139.95,,,,,,,,
admin,base,Default,simple,ATI0150,105.95,139.95,139.95,,,,,,,,
admin,base,Default,simple,ATI0151,121.95,159.95,159.95,,,,,,,,
admin,base,Default,simple,ATI0165,0.95,1.95,1.95,,,,,,,,
admin,base,Default,simple,ATI0171,32.95,43.95,43.95,,,,,,,,
admin,base,Default,grouped,ATI-BMAIRFILTER,,,,,,,,,,,
admin,base,Default,simple,ATI0175,7.95,10.95,10.95,,,,,,,,
admin,base,Default,simple,ATI0177,7.95,10.95,10.95,,,,,,,,
admin,base,Default,simple,ATI0203,6.95,9.95,9.95,,,,,,,,
admin,base,Default,grouped,ATI-PCPUMP,,,,,,,,,,,
admin,base,Default,simple,ATI0403,213.95,285.95,285.95,,,,,,,,
admin,base,Default,simple,ATI0405,213.95,285.95,285.95,,,,,,,,
admin,base,Default,simple,ATI0407,35.95,47.95,47.95,,,,,,,,
admin,base,Default,simple,ATI0409,71.95,95.95,95.95,,,,,,,,
admin,base,Default,simple,ATI0411,27.95,37.95,37.95,,,,,,,,
admin,base,Default,grouped,ATI-PCCOLLECTIONCUP,,,,,,,,,,,
admin,base,Default,simple,ATI0417,50.95,69.95,69.95,,,,,,,,
admin,base,Default,simple,ATI0419,50.95,69.95,69.95,,,,,,,,
admin,base,Default,grouped,ATI-PCCOLLECTIONCUPLID,,,,,,,,,,,
admin,base,Default,simple,ATI0423,19.95,26.95,26.95,,,,,,,,
admin,base,Default,simple,ATI0425,19.95,26.95,26.95,,,,,,,,
admin,base,Default,grouped,ATI-PCORING,,,,,,,,,,,
admin,base,Default,simple,ATI0429,5.95,7.95,7.95,,,,,,,,
admin,base,Default,simple,ATI0431,5.95,7.95,7.95,,,,,,,,
admin,base,Default,grouped,ATI-HANGINGKIT,,,,,,,,,,,
admin,base,Default,simple,ATI2101,27.95,37.95,37.95,,,,,,,,
admin,base,Default,simple,ATI2103,29.95,39.95,39.95,,,,,,,,
admin,base,Default,grouped,ATI-PMREFLECTOR,,,,,,,,,,,
admin,base,Default,simple,ATI2201,9.95,16.95,16.95,,,,,,,,
